OSEBuildingID,DataYear,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,SiteEUI(kBtu/sf),SiteEnergyUse(kBtu),SteamUse(kBtu),NaturalGas(kBtu),GHGEmissionsIntensity,TotalGHGEmissions,GHGEmissionsIntensity,BuildingType,PrimaryPropertyType,CouncilDistrictCode,Neighborhood,Latitude,Longitude
1.0,2015.0,1927.0,1.0,12.0,88434.0,0.0,78.9,6981428.0,2023032.0,1272388.0,2.64,249.43,2.64,NonResidential,Hotel,7,DOWNTOWN,47.61219025,-122.33799744
2.0,2015.0,1996.0,1.0,11.0,103566.0,15064.0,94.4,8354235.0,0.0,4448985.0,2.38,263.51,2.38,NonResidential,Hotel,7,DOWNTOWN,47.61310583,-122.33335756
3.0,2015.0,1969.0,1.0,41.0,961990.0,0.0,96.6,73130656.0,19660404.0,3709900.0,1.92,2061.48,1.92,NonResidential,Hotel,7,DOWNTOWN,47.61334897,-122.33769944
5.0,2015.0,1926.0,1.0,10.0,61320.0,0.0,460.4,28229320.0,23458518.0,2001894.0,31.38,1936.34,31.38,NonResidential,Hotel,7,DOWNTOWN,47.61421585,-122.33660889
8.0,2015.0,1980.0,1.0,18.0,119890.0,12460.0,120.1,14829099.0,0.0,8763105.0,4.02,507.7,4.02,NonResidential,Hotel,7,DOWNTOWN,47.6137544,-122.3409238
9.0,2015.0,1999.0,1.0,2.0,97288.0,37198.0,135.7,12051984.0,0.0,4781283.0,2.81,304.62,2.81,Nonresidential COS,Other,7,DOWNTOWN,47.6164389,-122.33676431
10.0,2015.0,1926.0,1.0,11.0,83008.0,0.0,76.9,6252842.0,0.0,3573255.0,2.37,208.46,2.37,NonResidential,Hotel,7,DOWNTOWN,47.6141141,-122.33274086
11.0,2015.0,1926.0,1.0,8.0,102761.0,0.0,62.5,6426022.0,2003108.0,315079.0,1.77,199.99,1.77,NonResidential,Other,7,DOWNTOWN,47.61290234,-122.33130949
12.0,2015.0,1904.0,1.0,15.0,163984.0,0.0,77.0,12633744.0,0.0,5278400.0,1.83,331.61,1.83,NonResidential,Hotel,7,DOWNTOWN,47.60258934,-122.33255325
15.0,2015.0,1969.0,1.0,11.0,153163.0,19279.0,101.1,14719853.0,3623542.0,4759044.0,3.59,576.63,3.59,NonResidential,Hotel,7,DOWNTOWN,47.60712147,-122.33431932
16.0,2015.0,1998.0,1.0,25.0,333176.0,61161.0,82.3,27717026.0,5426396.0,3232700.0,1.93,723.4,1.93,NonResidential,Hotel,7,DOWNTOWN,47.60718204,-122.33347215
17.0,2015.0,1928.0,1.0,9.0,65009.0,0.0,104.7,6807227.0,1987163.0,3205074.0,5.04,334.87,5.04,NonResidential,Hotel,7,DOWNTOWN,47.60709939,-122.33310536
18.0,2015.0,1980.0,1.0,33.0,315952.0,57600.0,77.2,22811690.0,4731090.0,3990280.0,1.95,675.34,1.95,NonResidential,Hotel,7,DOWNTOWN,47.60809326,-122.33211517
19.0,2015.0,1922.0,1.0,11.0,67390.0,0.0,166.1,10711451.0,4403788.0,2218425.0,6.95,486.25,6.95,NonResidential,Hotel,7,DOWNTOWN,47.60761642,-122.3323288
21.0,2015.0,2004.0,1.0,11.0,412000.0,57000.0,46.0,16849234.0,703184.0,0.0,0.24,166.84,0.24,Nonresidential COS,Other,7,DOWNTOWN,47.60667501,-122.33226425
22.0,2015.0,1930.0,1.0,6.0,103911.0,0.0,79.5,10340282.0,4398022.0,654260.0,3.74,411.09,3.74,NonResidential,Other,7,DOWNTOWN,47.60544586,-122.33280182
23.0,2015.0,1983.0,1.0,28.0,416281.0,85000.0,95.5,33270518.0,0.0,11339166.0,1.59,755.12,1.59,NonResidential,Hotel,7,DOWNTOWN,47.60656003,-122.33063632
